failed_antibiotics,herbicide_concentration,average_weight,cell_viability,growth_inhibition,reactive_oxygen_species,residual_activity,membrane_permeability,protein_folding,metabolic_activity,cellular_apoptosis
Titan-1,14,15,90,10,High,95,Low,Yes,High,5
Leviathan-7,10,18,70,30,Moderate,80,Moderate,No,Moderate,15
Chimera-24,16,22,80,20,Low,90,Low,Yes,High,8
Hydra-9,15,20,60,40,High,75,High,No,Low,20
Spectracide-11,10,17,85,15,Moderate,92,High,Yes,Moderate,7
Scylla-15,18,20,95,5,High,98,Low,Yes,High,2
Charybdis-20,24,28,50,50,VeryHigh,60,VeryHigh,No,Low,35
Arachne-12,8,16,75,25,Low,88,Low,Yes,Moderate,10
Panacea-X,15,18,92,8,Moderate,94,Moderate,Yes,High,3
SilentTide,18,19,78,22,High,85,Low,No,Low,12
Cerberus-X,16,20,55,45,VeryHigh,70,VeryHigh,Yes,Moderate,25
Vanquish-42,15,16,88,12,Moderate,89,Moderate,Yes,High,6
Morpheus-5,5,20,93,7,Low,96,Low,Yes,Moderate,4
Nebula-X,20,25,45,55,VeryHigh,50,VeryHigh,No,Low,40
Inhibitol-X7,10,17,85,15,Moderate,93,Moderate,Yes,High,8
Atlas-8,10,20,80,20,High,91,High,Yes,Moderate,5
Apex-700,13,19,52,48,VeryHigh,65,VeryHigh,No,Low,18
Phoenix-13,5,20,90,10,Moderate,97,Low,Yes,High,2
Lazarus-7,20,23,78,22,High,86,High,Yes,Moderate,10
Tigecycline,19,23,40,60,VeryHigh,45,VeryHigh,No,Low,45
